noteType,noteDirection,index,id,time,cutType,multiplier,score/0,score/1,score/2,timeDeviation,speed,preswing,postswing,distanceToCenter,cutPoint/0,cutPoint/1,cutPoint/2,saberDir/0,saberDir/1,saberDir/2,cutNormal/0,cutNormal/1,cutNormal/2,timeDependence
0,8,7,97,22.541666,0,8,70,13,30,0.00573730469,24.8370514,1.42049491,1.7069695,0.03888309,0.8745435,1.51339567,1.01066923,0.7499449,0.65938437,-0.0528655425,0.654694259,-0.735930741,-0.172573,0.172573
0,8,2,98,22.98611,2,4,0,0,0,0,0,0,0,0,,,,,,,,,,0
1,8,3,99,22.98611,0,4,70,7,30,0.0201435089,32.209156,1.86892974,1.42377222,0.15827632,0.8039106,0.807937264,1.2796849,0.725774646,-0.530443966,-0.438041478,-0.6070994,-0.7946179,-0.003633082,0.003633082
0,1,7,100,26.6527786,0,4,68,12,30,0.03476906,24.976265,0.9700891,1.71930742,0.05836928,0.9547207,1.49475145,1.51350474,0.301976919,-0.8978291,0.320488423,-0.937490046,-0.227206483,0.263608873,0.263608873
0,1,3,101,26.6527786,0,4,70,11,30,0.02095604,33.7113762,1.23930752,1.27098393,0.0898624659,0.984870553,0.951802254,1.22871315,0.171429217,-0.976339042,-0.1318111,-0.9444494,-0.202525645,0.258841366,0.258841366
1,7,2,102,26.6527786,0,4,70,11,30,0.00700569153,30.0353336,1.45746589,1.17877,0.0839526057,0.226676673,0.893965065,0.974352956,0.490730643,-0.8527567,-0.178856418,-0.8733898,-0.4865517,0.0213962942,0.0213962942
0,0,11,103,26.76389,0,4,70,12,30,0.0207157135,42.91644,1.15993261,1.48143482,0.0513953567,0.9482857,1.98275709,1.24311268,-0.0239477865,0.998994768,-0.0378954,0.939494669,0.0226291865,-0.341815174,0.341815174
1,4,4,104,26.76389,0,4,70,15,30,0.006975174,48.2173767,1.27903,2.109127,0.00171741843,-0.8987005,1.485499,0.986429334,-0.5774421,0.801461756,0.155626535,0.7567085,0.469632149,0.454794347,0.454794347
0,1,2,105,26.875,0,4,70,13,30,0.021276474,51.8787575,1.32795119,1.49640322,0.04364144,0.257761478,0.944409966,1.26171243,-0.247738764,-0.9641279,-0.09530481,-0.967854142,0.24859713,-0.0381817073,0.0381817073
0,0,10,106,26.98611,0,8,70,12,30,0.0070438385,52.04983,1.2647475,1.5356431,0.0554878227,0.3535306,1.97099292,0.98616153,0.2761212,0.897999763,-0.3425691,0.9647268,-0.24477461,0.09689,0.09689
1,1,0,107,27.0972214,0,8,70,2,30,0.03340721,35.06652,1.74996626,1.46401608,0.269879252,-1.13756251,0.89905,1.38555384,0.127638146,-0.9909146,0.04238889,-0.8802548,-0.120253667,-0.4590103,0.4590103
1,0,8,108,27.208334,0,8,70,4,30,0.0217132568,47.6224,1.3270638,1.34625578,0.224586159,-1.10506785,1.97148919,1.17997146,0.0423691981,0.9894496,-0.138543457,0.9130919,0.043513447,0.4054254,0.4054254
1,1,0,109,27.3194447,0,8,70,14,30,0.0212631226,58.61876,1.22876346,1.14814758,0.01799208,-0.9172085,0.937147,1.2547642,-0.237322062,-0.9370443,0.256176084,-0.95644623,0.199218839,-0.213360474,0.213360474
1,0,8,110,27.4305553,0,8,70,7,30,0.00750350952,54.7752037,1.21058178,1.54102385,0.163881451,-1.04598308,1.98024714,0.9056255,0.07242666,0.9794898,-0.1880271,0.8907841,0.0260881968,0.4536773,0.4536773
0,6,2,111,27.541666,0,8,70,9,30,0.0213813782,29.2533741,1.26246691,1.55224836,0.113257617,0.397553623,0.884930432,1.2191596,-0.450009733,-0.892919838,0.013613658,-0.8613427,0.42925638,0.2717126,0.2717126
0,5,11,112,27.6527786,0,8,70,12,27,0.007123947,46.97913,1.60057318,0.9162742,0.0547429919,0.9425441,1.95276344,0.9590009,0.470219731,0.7694682,-0.4322177,0.7771598,-0.5809448,-0.241921753,0.241921753
0,6,1,113,27.76389,0,8,70,15,30,0.00726127625,49.1465874,1.34146488,1.44407046,0.00509190559,-0.303344,0.938640535,0.9760289,-0.713961959,-0.6222695,-0.320996672,-0.656727,0.754037,-0.0117418468,0.0117418468
